licence,token,company,type,company_reg,issued,expires,revoked_on,status
OGL/2024/251/0130,130,Geeker Technology N.V.,B2C,156493,"February 28, 2026","August 28, 2026",,active
OGL/2024/1274/0819,819,Anden Online N.V.,B2C,138316,"February 27, 2026","August 27, 2026",,active
OGL/2024/2287/1195,1195,JetTon Games B.V.,B2C,168122,"February 26, 2026","August 26, 2026",,active
OGL/2024/1382/0969,969,WUNGroup B.V.,B2C,160576,"February 22, 2026","August 22, 2026",,active
OGL/2024/535/0922,922,Opo-Net N.V.,B2C,157050,"February 22, 2026","August 22, 2026",,active
OGL/2024/1261/0718,718,978 Tech N.V.,B2C,156923,"February 22, 2026","August 22, 2026",,active
OGL/2024/689/0696,696,Great Star N.V.,B2C,122623,"February 22, 2026","August 22, 2026",,active
OGL/2024/1054/0509,509,Forwell Investments B.V.,B2C,136125,"February 21, 2026","August 21, 2026",,active
OGL/2024/545/0588,588,Violet Fortune Tech Limited N.V.,B2C,158923,"February 21, 2026","August 21, 2026",,active
OGL/2024/216/0606,606,AE Group B.V.,B2C,143574,"February 21, 2026","August 21, 2026",,active
OGL/2024/1303/1172,1172,Meta Bliss Group B.V.,B2C,159718,"February 20, 2026","August 20, 2026",,active
OGL/2024/922/0638,638,W&C N.V.,B2C,145637,"February 19, 2026","August 19, 2026",,active
OGL/2024/1370/0893,893,Pexcellent Services Ltd B.V.,B2C,163042,"February 19, 2026","August 19, 2026",,active
OGL/2024/1592/0901,901,Get Zapped Gaming N.V.,B2C,166344,"February 19, 2026","August 19, 2026",,active
OGL/2024/2327/1196,1196,Softclub N.V.,B2C,154530,"February 14, 2026","August 14, 2026",,active
OGL/2024/1135/0484,484,Windward Circle B.V.,B2C,150466,"February 14, 2026","August 14, 2026",,active
OGL/2024/368/0697,697,Innova Hub B.V.,B2C,161538,"February 13, 2026","August 13, 2026",,active
OGL/2024/1336/1047,1047,MuchGaming B.V.,B2C,153126,"February 13, 2026","August 13, 2026",,active
OGL/2024/221/0534,534,Inovaplay B.V.,B2C,160168,"February 12, 2026","August 12, 2026",,active
OGL/2024/194/0642,642,Faro Entertainment N.V.,B2C,139031,"February 12, 2026","August 12, 2026",,active
OGL/2024/1698/0936,936,MCG Technologies N.V.,B2C,166630,"February 12, 2026","August 12, 2026",,active
OGL/2024/1723/0940,940,Island Lukkly B.V.,B2C,166711,"February 12, 2026","August 12, 2026",,active
OGL/2024/1844/1064,1064,Parker B.V.,B2C,167263,"February 12, 2026","August 12, 2026",,active
OGL/2024/1060/0472,472,Atlantic Management B.V.,B2C,139089,"February 12, 2026","August 12, 2026",,active
OGL/2024/1381/0615,615,Slotbox N.V.,B2C,155357,"February 12, 2026","August 12, 2026",,active
OGL/2024/420/0675,675,Final Enterprises N.V.,B2C,137397,"February 8, 2026","August 8, 2026",,active
OGL/2024/1367/1045,1045,Riviera Entertainment N.V.,B2C,156650,"February 4, 2026","August 4, 2026",,active
OGL/2024/296/1093,1093,Game2Net B.V.,B2C,163111,"February 2, 2026","August 2, 2026",,active
OGL/2024/1539/0808,808,Come On Curacao N.V.,B2C,118819,"February 2, 2026","August 2, 2026",,active
OGL/2024/2354/1208,1208,Balkan International B.V.,B2B,165051,"February 1, 2026","August 1, 2026",,active
OGL/2024/1349/0997,997,Yentel Investments B.V.,B2C,155915,"February 1, 2026","August 1, 2026",,active
OGL/2024/1110/0512,512,Media Entertainment N.V.,B2C,108625,"February 1, 2026","August 1, 2026",,active
OGL/2024/799/0255,255,Trivico B.V.,B2C,166069,"January 31, 2026","July 31, 2026",,active
OGL/2024/1494/0942,942,Universe B Games B.V.,B2C,155126,"January 31, 2026","July 31, 2026",,active
OGL/2024/657/0248,248,Delphin Blue Ocean B.V.,B2C,154523,"January 31, 2026","July 31, 2026",,active
OGL/2024/1358/1233,1233,Ole Group International B.V.,B2C,150383,"January 25, 2026","July 25, 2026",,active
OGL/2024/842/0350,350,Sefiarray B.V.,B2C,155219,"January 25, 2026","July 25, 2026",,active
OGL/2024/453/0439,439,Gambulls N.V.,B2C,165076,"January 25, 2026","July 25, 2026",,active
OGL/2024/1113/0517,517,Progress Path Co N.V.,B2C,164185,"January 24, 2026","July 24, 2026",,active
OGL/2024/1856/1063,1063,Green Forest Group N.V.,B2C,166599,"January 23, 2026","July 23, 2026",,active
OGL/2024/1562/1139,1139,Data Link Digital B.V.,B2C,164124,"January 23, 2026","July 23, 2026",,active
OGL/2024/196/0574,574,Axum B.V.,B2C,159207,"January 22, 2026","July 22, 2026",,active
OGL/2024/2082/1136,1136,Aftermath B.V.,B2C,166859,"January 22, 2026","July 22, 2026",,active
OGL/2024/524/0355,355,Umiiumii B.V.,B2C,154512,"January 22, 2026","July 22, 2026",,active
OGL/2024/1739/0965,965,Prism Sentinel N.V.,B2C,146440,"January 22, 2026","July 22, 2026",,active
OGL/2024/638/1159,1159,Dragon Money N.V.,B2C,159443,"January 16, 2026","July 16, 2026",,active
OGL/2024/670/0711,711,Arbol Media B.V.,B2C,145739,"January 14, 2026","July 14, 2026",,active
OGL/2024/1834/1057,1057,Spade and Scepter N.V.,B2B,167034,"January 14, 2026","July 14, 2026",,active
OGL/2024/676/0726,726,Ridley Media N.V.,B2C,140544,"January 14, 2026","July 14, 2026",,active
OGL/2024/255/0331,331,Brasiltech N.V.,B2B,155732,"January 14, 2026","July 14, 2026",,active
OGL/2024/571/0919,919,iMoon B.V.,B2B,158383,"January 14, 2026","July 14, 2026",,active
OGL/2024/120/0295,295,Fournine Technology N.V.,B2C,162404,"January 14, 2026","July 14, 2026",,active
OGL/2024/2064/1132,1132,VoltEnt B.V.,B2B,167000,"January 14, 2026","July 14, 2026",,active
OGL/2024/1220/0573,573,Nova Data Solutions B.V.,B2C,165847,"January 5, 2026","July 5, 2026",,active
OGL/2024/1745/0962,962,Oyster Media N.V.,B2C,142417,"January 5, 2026","July 5, 2026",,active
OGL/2024/199/0868,868,Godbunny B.V.,B2C,157145,"January 3, 2026","July 3, 2026",,active
OGL/2024/2225/1166,1166,Speed Platform B.V.,B2B,168177,"January 3, 2026","July 3, 2026",,active
OGL/2024/792/0305,305,Topc B.V.,B2C,163568,"January 3, 2026","July 3, 2026",,active
OGL/2024/1839/1071,1071,Cura Casino B.V.,B2C,167325,"January 1, 2026","July 1, 2026",,active
OGL/2024/636/0578,578,B2Bseven B.V.,B2C,152184,"January 1, 2026","July 1, 2026",,active
OGL/2024/675/0939,939,JMS Investment Group N.V.,B2C,139753,"January 1, 2026","July 1, 2026",,active
OGL/2024/995/0478,478,Entertainment Art B.V.,B2C,127327,"January 1, 2026","July 1, 2026",,active
OGL/2024/1356/0991,991,Triple Bet B.V.,B2B,153154,"January 1, 2026","July 1, 2026",,active
OGL/2024/1572/1027,1027,Eight Central Limited N.V.,B2C,142943,"December 18, 2025","June 18, 2026",,active
OGL/2024/860/0410,410,Peak Interactive N.V.,B2C,105847,"December 17, 2025","June 17, 2026",,active
OGL/2024/1294/0537,537,Interactive Global Entertainment B.V.,B2B,153827,"December 17, 2025","June 17, 2026",,active
OGL/2024/1214/0712,712,Bitx Operations N.V.,B2C,161842,"December 17, 2025","June 17, 2026",,active
OGL/2024/336/0676,676,MTech Ventures B.V.,B2C,164270,"December 17, 2025","June 17, 2026",,active
OGL/2024/1585/0822,822,Throne Entertainment B.V.,B2C,150615,"December 16, 2025","June 16, 2026",,active
OGL/2024/741/0852,852,White Fox N.V.,B2B,142472,"December 16, 2025","June 16, 2026",,active
OGL/2024/985/0430,430,BlackSands B.V.,B2C,162520,"December 16, 2025","June 16, 2026",,active
OGL/2024/780/0367,367,Volt Entertainment B.V.,B2B,136003,"December 16, 2025","June 16, 2026",,active
OGL/2024/314/1090,1090,Blueinic B.V.,B2C,140279,"December 16, 2025","June 16, 2026",,active
OGL/2024/630/1003,1003,Island Odyssey Ventures B.V.,B2C,165285,"December 13, 2025","June 13, 2026",,active
OGL/2024/1586/0788,788,GMFY Tech N.V.,B2C,148776,"December 11, 2025","June 11, 2026",,active
OGL/2024/485/0344,344,Newlinetec B.V.,B2C,144486,"December 11, 2025","June 11, 2026",,active
OGL/2024/1360/1085,1085,Nuxgen B.V.,B2B,153051,"December 11, 2025","June 11, 2026",,active
OGL/2024/170/0193,193,418Services B.V.,B2C,157255,"December 11, 2025","June 11, 2026",,active
OGL/2024/285/0330,330,CW Investments N.V.,B2C,160959,"December 9, 2025","June 9, 2026",,active
OGL/2024/2413/1228,1228,Rocket Play B.V.,B2C,168766,"December 9, 2025","June 9, 2026",,active
OGL/2024/1409/0649,649,New Age N.V.,B2C,161385,"December 6, 2025","June 6, 2026",,active
OGL/2024/431/0231,231,Bridge Technologies B.V.,B2C,160264,"December 6, 2025","June 6, 2026",,active
OGL/2024/2386/1215,1215,Byterivers N.V.,B2B,164516,"December 6, 2025","June 6, 2026",,active
OGL/2024/1185/0721,721,Black Ocean B.V.,B2C,153155,"December 6, 2025","June 6, 2026",,active
OGL/2024/1234/0896,896,NewGenx N.V.,B2C,143068,"December 6, 2025","June 6, 2026",,active
OGL/2024/1340/0996,996,Swervy International B.V.,B2C,144876,"December 6, 2025","June 6, 2026",,active
OGL/2024/1838/1074,1074,Cura Gaming B.V.,B2B,167324,"December 4, 2025","June 4, 2026",,active
OGL/2024/1641/1039,1039,Verse Corp B.V.,B2C,162608,"December 4, 2025","June 4, 2026",,active
OGL/2024/1384/0627,627,Velorum Corporation N.V.,B2C,127675,"December 4, 2025","June 4, 2026",,active
OGL/2024/2086/1138,1138,Spinola ventures B.V.,B2C,167425,"December 4, 2025","June 4, 2026",,active
OGL/2024/494/0671,671,Luckland Group B.V.,B2C,136509,"December 4, 2025","June 4, 2026",,active
OGL/2024/635/0818,818,Advanced Sports Entertainment N.V.,B2C,140543,"December 4, 2025","June 4, 2026",,active
OGL/2024/677/0722,722,Paloma Media B.V.,B2C,146988,"December 4, 2025","June 4, 2026",,active
OGL/2024/2260/1194,1194,Half Space Entertainment N.V.,B2C,166129,"December 4, 2025","June 4, 2026",,active
OGL/2024/935/0390,390,Ultrasoft N.V.,B2B,159485,"December 4, 2025","June 4, 2026",,active
OGL/2024/1404/0617,617,Play UK Internet N.V.,B2C,95091,"December 4, 2025","June 4, 2026",,active
OGL/2024/355/0587,587,JX Group B.V.,B2B,157247,"December 4, 2025","June 4, 2026",,active
OGL/2024/1597/0825,825,Yao Entertainment N.V.,B2C,158554,"December 4, 2025","June 4, 2026",,active
OGL/2024/1625/0862,862,Soft Entertainment N.V.,B2C,166637,"December 4, 2025","June 4, 2026",,active
OGL/2024/719/0211,211,Goodfly N.V.,B2C,163359,"December 4, 2025","June 4, 2026",,active
OGL/2024/558/0973,973,Omega Entertainment N.V.,B2C,145632,"December 4, 2025","June 4, 2026",,active
OGL/2023/155/0098,98,Famagousta B.V.,B2C,152449,"December 4, 2025","June 4, 2026",,active
OGL/2024/1673/0915,915,FairGame G.P. N.V.,B2C,141938,"December 4, 2025","June 4, 2026",,active
OGL/2024/661/0277,277,SilverDeer B.V.,B2C,160269,"December 4, 2025","June 4, 2026",,active
OGL/2024/570/0396,396,Carrer N.V.,B2C,150421,"December 2, 2025","June 2, 2026",,active
OGL/2024/259/0309,309,GIT Operations N.V.,B2C,148532,"November 27, 2025","May 27, 2026",,active
OGL/2024/1273/1142,1142,DG Innovations B.V.,B2C,164111,"November 25, 2025","May 25, 2026",,active
OGL/2024/1290/0515,515,Winholding B.V.,B2C,155334,"November 25, 2025","May 25, 2026",,active
OGL/2024/659/0586,586,Trigonon Group N.V.,B2C,142028,"November 23, 2025","May 23, 2026",,active
OGL/2024/833/1005,1005,Arena Sports Entertainment N.V.,B2C,137157,"November 23, 2025","May 23, 2026",,active
OGL/2024/1248/0716,716,ZConsulting B.V.,B2C,142723,"November 23, 2025","May 23, 2026",,active
OGL/2024/300/0596,596,Favorit United N.V.,B2C,121466,"November 23, 2025","May 23, 2026",,active
OGL/2024/328/0599,599,Halcyon Super Holdings B.V.,B2C,148526,"November 23, 2025","May 23, 2026",,active
OGL/2024/228/0604,604,Sprut Group B.V.,B2C,149459,"November 23, 2025","May 23, 2026",,active
OGL/2024/907/0376,376,Mandarin Gaming N.V.,B2C,95911,"November 23, 2025","May 23, 2026",,active
OGL/2024/1278/0497,497,Casiworx N.V.,B2C,163922,"November 23, 2025","May 23, 2026",,active
OGL/2024/1277/0496,496,Exedra N.V.,B2C,139149,"November 23, 2025","May 23, 2026",,active
OGL/2024/900/0372,372,Combobed N.V.,B2B,157143,"November 23, 2025","May 23, 2026",,active
OGL/2024/1053/0486,486,One Internet B.V.,B2C,163352,"November 23, 2025","May 23, 2026",,active
OGL/2024/1260/0494,494,Bull Gaming N.V.,B2C,157086,"November 23, 2025","May 23, 2026",,active
OGL/2024/1325/0745,745,GameArt CU B.V.,B2B,161733,"November 23, 2025","May 23, 2026",,active
OGL/2024/1341/0995,995,SureWin B.V.,B2C,153149,"November 23, 2025","May 23, 2026",,active
OGL/2024/1368/0895,895,Purple Bay B.V.,B2C,157944,"November 23, 2025","May 23, 2026",,active
OGL/2024/1334/1038,1038,Misterio Vacio B.V.,B2C,151211,"November 23, 2025","May 23, 2026",,active
OGL/2024/1410/0814,814,Versus Odds B.V.,B2C,147011,"November 23, 2025","May 23, 2026",,active
OGL/2024/748/0203,203,New Entertainment Development N.V.,B2C,162581,"November 23, 2025","May 23, 2026",,active
OGL/2024/1676/0905,905,Latcas B.V.,B2C,165403,"November 19, 2025","May 19, 2026",,active
OGL/2024/418/0821,821,Sunstar Impact N.V.,B2C,152448,"November 19, 2025","May 19, 2026",,active
OGL/2024/1230/1099,1099,IBC Broker B.V.,B2C,148161,"November 19, 2025","May 19, 2026",,active
OGL/2024/767/0360,360,Intelligent Innovations N.V.,B2C,142065,"November 19, 2025","May 19, 2026",,active
OGL/2024/769/0571,571,KE International Limited N.V.,B2C,162340,"November 19, 2025","May 19, 2026",,active
OGL/2024/2223/1165,1165,Kahuna Services B.V.,B2B,163860,"November 19, 2025","May 19, 2026",,active
OGL/2024/138/0289,289,Plustar N.V.,B2C,161618,"November 19, 2025","May 19, 2026",,active
OGL/2024/805/0287,287,AG Group B.V.,B2C,166231,"November 19, 2025","May 19, 2026",,active
OGL/2024/102/0932,932,Brictec B.V.,B2C,164938,"November 19, 2025","May 19, 2026",,active
OGL/2024/132/1011,1011,Black Hawk Technology B.V.,B2C,164452,"November 19, 2025","May 19, 2026",,active
OGL/2024/1132/0522,522,Thot Management B.V.,B2C,125803,"November 19, 2025","May 19, 2026",,active
OGL/2024/1272/1143,1143,Amadeus Technology B.V,B2C,164694,"November 18, 2025","May 18, 2026",,active
OGL/2024/211/0595,595,K.I.K. Corporation B.V.,B2C,151667,"November 17, 2025","May 17, 2026",,active
OGL/2024/1569/0782,782,Cartwheel B.V.,B2C,165562,"November 17, 2025","May 17, 2026",,active
OGL/2024/1209/0631,631,Free Games B.V.,B2C,138968,"November 10, 2025","May 10, 2026",,active
OGL/2024/1635/0968,968,Lucifer N.V.,B2C,162537,"November 9, 2025","May 9, 2026",,active
OGL/2024/183/0195,195,AzRa678 N.V.,B2C,149501,"November 9, 2025","May 9, 2026",,active
OGL/2024/567/0911,911,LGE Entertainment Limited N.V.,B2C,157708,"November 9, 2025","May 9, 2026",,active
OGL/2024/932/0388,388,Softmetrix N.V.,B2B,154750,"November 9, 2025","May 9, 2026",,active
OGL/2024/487/0459,459,PlayDOM B.V.,B2C,145097,"November 9, 2025","May 9, 2026",,active
OGL/2024/886/0978,978,Winlink B.V.,B2C,154346,"November 9, 2025","May 9, 2026",,active
OGL/2024/818/0448,448,TwiceDice N.V.,B2C,154842,"November 9, 2025","May 9, 2026",,active
OGL/2024/1304/0813,813,Mirage Corporation N.V.,B2C,132869,"November 9, 2025","May 9, 2026",,active
OGL/2024/1671/0916,916,NovaGaming N.V.,B2C,164322,"November 9, 2025","May 9, 2026",,active
OGL/2024/236/0117,117,Turn1 B.V.,B2C,163898,"November 9, 2025","May 9, 2026",,active
OGL/2024/1050/0453,453,Joyful Leisure B.V.,B2C,165402,"November 9, 2025","May 9, 2026",,active
OGL/2024/888/0438,438,Betrust Entertainment B.V.,B2C,141214,"November 9, 2025","May 9, 2026",,active
OGL/2024/1496/0934,934,Genco Pura B.V.,B2C,163609,"November 9, 2025","May 9, 2026",,active
OGL/2024/910/0664,664,Switch It N.V.,B2B,135879,"November 5, 2025","May 5, 2026",,active
OGL/2024/1161/044,44,Bluewave Interactive N.V.,B2C,164592,"November 5, 2025","May 5, 2026",,active
OGL/2024/592/0492,492,Triumphbet Company N.V.,B2C,140804,"November 5, 2025","May 5, 2026",,active
OGL/2024/1740/0971,971,Sendosa B.V.,B2B,166829,"November 5, 2025","May 5, 2026",,active
OGL/2024/1127/0766,766,Venus International B.V.,B2C,164106,"October 29, 2025","April 29, 2026",,active
OGL/2024/1093/0504,504,EastPoint Operations B.V.,B2C,160230,"October 28, 2025","April 28, 2026",,active
OGL/2024/1064/0761,761,BetU Curacao B.V.,B2C,158488,"October 28, 2025","April 28, 2026",,active
OGL/2024/544/0557,557,Great BDG Randon Entertainment N.V.,B2C,146093,"October 28, 2025","April 28, 2026",,active
OGL/2024/1560/0833,833,DMG Solutions B.V.,B2C,148273,"October 28, 2025","April 28, 2026",,active
OGL/2024/604/0267,267,Snowdunes B.V.,B2C,159380,"October 28, 2025","April 28, 2026",,active
OGL/2024/1055/0507,507,Frontier Gaming B.V.,B2C,165948,"October 24, 2025","April 24, 2026",,active
OGL/2024/552/0560,560,Riotech N.V.,B2C,135400,"October 24, 2025","April 24, 2026",,active
OGL/2024/1372/0659,659,Royal Assa N.V.,B2C,157430,"October 23, 2025","April 23, 2026",,active
OGL/2024/1331/0742,742,HGCU B.V.,B2B,146613,"October 23, 2025","April 23, 2026",,active
OGL/2024/543/0614,614,Starlink International N.V.,B2C,157051,"October 23, 2025","April 23, 2026",,active
OGL/2024/1658/0931,931,H2 Sports N.V.,B2C,161955,"October 21, 2025","April 21, 2026",,active
OGL/2024/1104/1169,1169,Hongda Information Technology B.V.,B2C,165304,"October 21, 2025","April 21, 2026",,active
OGL/2024/785/0229,229,Alt.Bet. Exchange B.V.,B2C,140039,"October 21, 2025","April 21, 2026",,active
OGL/2024/1067/0640,640,R. Bostock Enterprises B.V.,B2C,159489,"October 21, 2025","April 21, 2026",,active
OGL/2024/1780/1110,1110,FaDa B.V.,B2B,165302,"October 21, 2025","April 21, 2026",,active
OGL/2024/927/1070,1070,Bet n Play Solution B.V.,B2C,163749,"October 21, 2025","April 21, 2026",,active
OGL/2024/1326/0684,684,GP Holding B.V.,B2C,159281,"October 17, 2025","April 17, 2026",,active
OGL/2024/367/0690,690,Globonet B.V.,B2C,146296,"October 17, 2025","April 17, 2026",,active
OGL/2024/1258/0552,552,Bamla Limited N.V.,B2C,164689,"October 16, 2025","April 16, 2026",,active
OGL/2024/457/0562,562,Atlas Tech Solutions B.V.,B2C,163110,"October 16, 2025","April 16, 2026",,active
OGL/2024/1653/0930,930,Techwave B.V.,B2C,165594,"October 16, 2025","April 16, 2026",,active
OGL/2024/830/0751,751,Crayon B.V.,B2C,165207,"October 16, 2025","April 16, 2026",,active
OGL/2024/323/0466,466,Beagle Tech N.V.,B2B,145021,"October 16, 2025","April 16, 2026",,active
OGL/2024/1480/0730,730,Sailfour Services N.V.,B2B,165691,"October 16, 2025","April 16, 2026",,active
OGL/2024/1701/0924,924,Lone Rock Holdings N.V.,B2B,148107,"October 16, 2025","April 16, 2026",,active
OGL/2024/1057/0701,701,Evoplay Entertainment B.V.,B2B,146580,"October 16, 2025","April 16, 2026",,active
OGL/2024/1229/0678,678,Quanta N.V.,B2B,161049,"October 16, 2025","April 16, 2026",,active
OGL/2024/1276/0583,583,Osmila N.V.,B2C,102267,"October 15, 2025","April 15, 2026",,active
OGL/2024/899/0371,371,Comeback N.V.,B2C,165023,"October 15, 2025","April 15, 2026",,active
OGL/2024/1657/1069,1069,BG8 Entertainment N.V.,B2C,160023,"October 14, 2025","April 14, 2026",,active
OGL/2024/210/0198,198,Nonce Gaming B.V.,B2C,161858,"October 14, 2025","April 14, 2026",,active
OGL/2024/596/0252,252,Altan N.V.,B2C,147038,"October 14, 2025","April 14, 2026",,active
OGL/2024/589/0556,556,GBL Solutions N.V.,B2C,155090,"October 14, 2025","April 14, 2026",,active
OGL/2024/148/0616,616,Taktonum Group N.V.,B2C,159208,"October 14, 2025","April 14, 2026",,active
OGL/2024/201/0270,270,Bitplay Global B.V.,B2C,164372,"October 14, 2025","April 14, 2026",,active
OGL/2024/755/0908,908,Selector Group N.V.,B2C,162987,"October 14, 2025","April 14, 2026",,active
OGL/2024/222/0540,540,Techcore Holding B.V.,B2C,151612,"October 14, 2025","April 14, 2026",,active
OGL/2024/298/0109,109,A2F B.V.,B2C,151745,"October 14, 2025","April 14, 2026",,active
OGL/2024/488/0787,787,Rapture B.V.,B2C,156074,"October 14, 2025","April 14, 2026",,active
OGL/2024/173/0199,199,Victorywillbeours N.V.,B2C,134627,"October 14, 2025","April 14, 2026",,active
OGL/2024/590/0758,758,TechSolutions Group B.V.,B2C,144920,"October 14, 2025","April 14, 2026",,active
OGL/2024/186/0194,194,Alpha Games B.V.,B2C,149502,"October 14, 2025","April 14, 2026",,active
OGL/2024/686/0183,183,Wiraon B.V.,B2C,146886,"October 14, 2025","April 14, 2026",,active
OGL/2024/817/0708,708,Udwin B.V.,B2C,147117,"October 14, 2025","April 14, 2026",,active
OGL/2024/1363/0705,705,Nixxe B.V.,B2C,147116,"October 14, 2025","April 14, 2026",,active
OGL/2024/688/0234,234,River Entertainment B.V.,B2C,158146,"October 14, 2025","April 14, 2026",,active
OGL/2024/822/0338,338,Whitebox B.V.,B2C,155412,"October 14, 2025","April 14, 2026",,active
OGL/2024/2162/1156,1156,Overseas Gaming Management B.V.,B2C,167066,"October 14, 2025","April 14, 2026",,active
OGL/2024/1231/0565,565,Bet Pegasus B.V.,B2C,149092,"October 14, 2025","April 14, 2026",,active
OGL/2024/1497/0884,884,Luckywayz Limited B.V.,B2C,161054,"October 14, 2025","April 14, 2026",,active
OGL/2024/1733/1081,1081,Exertus N.V.,B2C,161167,"October 14, 2025","April 14, 2026",,active
OGL/2024/648/0172,172,Panbet Curacao N.V.,B2C,118257,"October 14, 2025","April 14, 2026",,active
OGL/2024/1264/1125,1125,Green Stream Technology B.V.,B2C,164141,"October 9, 2025","April 9, 2026",,active
OGL/2024/1046/0451,451,Centrum Global B.V.,B2C,127056,"October 9, 2025","April 9, 2026",,active
OGL/2024/2063/1128,1128,Mitratech Curaçao B.V.,B2B,146806,"October 3, 2025","April 3, 2026",,active
OGL/2024/649/0442,442,Play Smart ENT B.V.,B2C,155275,"October 3, 2025","April 3, 2026",,active
OGL/2024/1242/0772,772,Gleneagles B.V.,B2C,158256,"October 3, 2025","April 3, 2026",,active
OGL/2024/746/0204,204,Victoria Games Solutions B.V.,B2C,163425,"October 3, 2025","April 3, 2026",,active
OGL/2024/2173/1161,1161,Gaminara N.V.,B2C,167847,"October 3, 2025","April 3, 2026",,active
OGL/2024/231/0633,633,Big Wonderland N.V.,B2B,162462,"October 2, 2025","April 2, 2026",,active
OGL/2024/1226/0898,898,Forward Solutions B.V.,B2C,156891,"October 2, 2025","April 2, 2026",,active
OGL/2024/1183/0869,869,Moonrail Limited B.V.,B2C,148182,"September 30, 2025","March 30, 2026",,active
OGL/2024/634/0590,590,Swivel B.V.,B2C,164460,"September 30, 2025","March 30, 2026",,active
OGL/2024/1144/0972,972,50 Gold B.V.,B2C,163883,"September 30, 2025","March 30, 2026",,active
OGL/2024/1511/0764,764,Interseal B.V.,B2C,163945,"September 29, 2025","March 29, 2026",,active
OGL/2024/586/0786,786,Orakum N.V.,B2C,141651,"September 28, 2025","March 28, 2026",,active
OGL/2024/341/0759,759,Prevailer B.V.,B2C,149548,"September 28, 2025","March 28, 2026",,active
OGL/2024/2289/1184,1184,Arrow Wood N.V.,B2C,149320,"September 28, 2025","March 28, 2026",,active
OGL/2024/1296/0547,547,Superstars Entertainment B.V.,B2C,163508,"September 28, 2025","March 28, 2026",,active
OGL/2024/2362/1207,1207,Olistek N.V.,B2C,168693,"September 27, 2025","March 27, 2026",,active
OGL/2024/1481/0768,768,F3 Markets N.V.,B2C,153970,"September 27, 2025","March 27, 2026",,active
OGL/2024/938/1131,1131,Edge Five Entertainment B.V.,B2C,164520,"September 27, 2025","March 27, 2026",,active
OGL/2024/983/0575,575,Seguri N.V.,B2C,153142,"September 27, 2025","March 27, 2026",,active
OGL/2024/971/0703,703,Kanggiten B.V.,B2C,147119,"September 26, 2025","March 26, 2026",,active
OGL/2024/969/1019,1019,Pointissimo B.V.,B2C,164649,"September 26, 2025","March 26, 2026",,active
OGL/2024/1130/0520,520,Superjogos N.V.,B2C,157878,"September 26, 2025","March 26, 2026",,active
OGL/2024/2241/1178,1178,Flybergom B.V.,B2C,167086,"September 26, 2025","March 26, 2026",,active
OGL/2024/1675/0903,903,Raging Rhino N.V.,B2C,148106,"September 26, 2025","March 26, 2026",,active
OGL/2024/566/0462,462,Magic Stones N.V.,B2C,155186,"September 26, 2025","March 26, 2026",,active
OGL/2024/421/0223,223,Evolut Interactive N.V.,B2C,161541,"September 26, 2025","March 26, 2026",,active
OGL/2024/1674/0902,902,Ngame N.V.,B2C,151672,"September 26, 2025","March 26, 2026",,active
OGL/2024/1208/0715,715,Continental Solutions Limited B.V.,B2C,148806,"September 26, 2025","March 26, 2026",,active
OGL/2024/428/0397,397,TGI Entertainment N.V.,B2C,135296,"September 26, 2025","March 26, 2026",,active
OGL/2024/1510/0839,839,Media4 Curaçao N.V.,B2C,164617,"September 26, 2025","March 26, 2026",,active
OGL/2024/2186/1164,1164,Agarinia N.V.,B2C,167085,"September 26, 2025","March 26, 2026",,active
OGL/2024/1126/0521,521,Terdersoft B.V.,B2C,164860,"September 26, 2025","March 26, 2026",,active
OGL/2024/345/0210,210,Elsikora N.V.,B2C,160190,"September 26, 2025","March 26, 2026",,active
OGL/2024/968/0753,753,Playvision Group B.V.,B2C,164518,"September 25, 2025","March 25, 2026",,active
OGL/2024/1070/0502,502,Bright Win Limited B.V.,B2C,165363,"September 25, 2025","March 25, 2026",,active
OGL/2024/1197/0563,563,Zoomba B.V.,B2C,164519,"September 24, 2025","March 24, 2026",,active
OGL/2024/923/0383,383,Complete Technologies N.V.,B2C,133283,"September 24, 2025","March 24, 2026",,active
OGL/2024/599/0274,274,Boom Line B.V.,B2C,159576,"September 24, 2025","March 24, 2026",,active
OGL/2024/669/0816,816,Torero Media B.V.,B2C,145737,"September 24, 2025","March 24, 2026",,active
OGL/2024/1324/0750,750,Nexus International Entertainment N.V.,B2C,162180,"September 24, 2025","March 24, 2026",,active
OGL/2024/597/0249,249,Bizbon N.V.,B2C,141081,"September 23, 2025","March 23, 2026",,active
OGL/2024/913/0609,609,Golden Frog N.V.,B2C,164683,"September 23, 2025","March 23, 2026",,active
OGL/2024/1699/1163,1163,Bettor IO N.V.,B2C,157065,"September 23, 2025","March 23, 2026",,active
OGL/2024/1111/0488,488,Orange Entertainment B.V.,B2C,158249,"September 18, 2025","March 18, 2026",,active
OGL/2024/943/0431,431,Faraday Online N.V.,B2C,161910,"September 17, 2025","March 17, 2026",,active
OGL/2024/363/0741,741,Starfish Media N.V.,B2B,125528,"September 17, 2025","March 17, 2026",,active
OGL/2024/1062/0475,475,Betelgeuse Entertainment B.V.,B2C,161954,"September 17, 2025","March 17, 2026",,active
OGL/2024/1696/1055,1055,Cyber Labs B.V.,B2C,166785,"September 13, 2025","March 13, 2026",,active
OGL/2024/1320/0958,958,PR Entertainment N.V.,B2C,163398,"September 13, 2025","March 13, 2026",,active
